,accuracy,loss,val_accuracy,val_loss
0,0.2754901945590973,1.3826180696487427,0.40392157435417175,1.3314166069030762
1,0.38333332538604736,1.3283978700637817,0.32549020648002625,1.3509716987609863
2,0.3921568691730499,1.3080281019210815,0.45490196347236633,1.1849863529205322
3,0.4480392038822174,1.19594144821167,0.4941176474094391,1.1304935216903687
4,0.4676470458507538,1.1626628637313843,0.43529412150382996,1.1818329095840454
5,0.47156861424446106,1.1799529790878296,0.49803921580314636,1.1238293647766113
6,0.45588234066963196,1.1335651874542236,0.5254902243614197,1.0593204498291016
7,0.4833333194255829,1.0935425758361816,0.501960813999176,1.0275733470916748
8,0.4803921580314636,1.090065836906433,0.501960813999176,1.0287399291992188
9,0.48627451062202454,1.0708118677139282,0.529411792755127,0.9994587302207947
10,0.5029411911964417,1.0534974336624146,0.48235294222831726,1.0747559070587158
11,0.5245097875595093,1.0422499179840088,0.545098066329956,0.9845340251922607
12,0.5176470875740051,1.0412884950637817,0.501960813999176,0.9917508959770203
13,0.5274509787559509,1.036690354347229,0.5333333611488342,1.013462781906128
14,0.5235294103622437,1.0360687971115112,0.4941176474094391,1.0462496280670166
15,0.5245097875595093,1.0214312076568604,0.4901960790157318,1.0041197538375854
16,0.5196078419685364,1.0123634338378906,0.545098066329956,1.0027066469192505
17,0.5411764979362488,0.9941645860671997,0.49803921580314636,1.0056458711624146
18,0.5382353067398071,1.0481235980987549,0.5215686559677124,1.041266918182373
19,0.5264706015586853,1.0222902297973633,0.529411792755127,1.0171149969100952
20,0.5588235259056091,0.9891558885574341,0.4901960790157318,1.0224136114120483
21,0.5460784435272217,1.00578773021698,0.501960813999176,1.0290518999099731
22,0.522549033164978,1.0177570581436157,0.5098039507865906,1.0418179035186768
23,0.5666666626930237,0.9692610502243042,0.5607843399047852,0.9795992970466614
24,0.5411764979362488,0.998053789138794,0.4627451002597809,1.0649020671844482
25,0.5490196347236633,0.9849900007247925,0.5137255191802979,1.0015300512313843
26,0.5460784435272217,0.9857905507087708,0.5568627715110779,0.9841660857200623
27,0.5529412031173706,0.9668595194816589,0.47058823704719543,1.0369962453842163
28,0.5794117450714111,0.9575837850570679,0.529411792755127,0.9766876101493835
29,0.5852941274642944,0.944210410118103,0.48235294222831726,1.0120173692703247
30,0.5794117450714111,0.9596685171127319,0.5647059082984924,0.9576539397239685
31,0.591176450252533,0.9394065141677856,0.5490196347236633,0.9836524128913879
32,0.591176450252533,0.92732173204422,0.5529412031173706,0.9508626461029053
33,0.6009804010391235,0.9136398434638977,0.5568627715110779,0.9457785487174988
34,0.6029411554336548,0.908416748046875,0.5098039507865906,0.9542235732078552
35,0.6117647290229797,0.9011998772621155,0.572549045085907,0.9568458795547485
36,0.593137264251709,0.925136148929596,0.5647059082984924,0.9913924336433411
37,0.6294117569923401,0.8810826539993286,0.5529412031173706,0.9509855508804321
